"Timestamp","Total score","How old are you?","How old are you? [Score]","How old are you? [Feedback]","Your gender","Your gender [Score]","Your gender [Feedback]","Which country do you reside in?","Which country do you reside in? [Score]","Which country do you reside in? [Feedback]","How many memberships or loyalty cards do you currently use regularly?(Select one)","How many memberships or loyalty cards do you currently use regularly?(Select one) [Score]","How many memberships or loyalty cards do you currently use regularly?(Select one) [Feedback]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply)","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Score]","Which of the following types of stores or services do you have loyalty memberships with?  (Select all that apply) [Feedback]","How often do you shop at stores that offer loyalty programs? (Select one) ","How often do you shop at stores that offer loyalty programs? (Select one)  [Score]","How often do you shop at stores that offer loyalty programs? (Select one)  [Feedback]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply) ","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Score]","What difficulties do you face when managing multiple memberships or loyalty cards? (Select all that apply)  [Feedback]","How do you currently store or access your membership cards? (Select one) ","How do you currently store or access your membership cards? (Select one)  [Score]","How do you currently store or access your membership cards? (Select one)  [Feedback]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one) ","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Score]","Would you prefer a unified membership system that consolidates all your memberships into one platform? (Select one)  [Feedback]","What features would you like to see in a unified membership system? (Select all that apply) ","What features would you like to see in a unified membership system? (Select all that apply)  [Score]","What features would you like to see in a unified membership system? (Select all that apply)  [Feedback]","How likely are you to use a unified membership system if it existed? (Select one) ","How likely are you to use a unified membership system if it existed? (Select one)  [Score]","How likely are you to use a unified membership system if it existed? (Select one)  [Feedback]","What improvements would you suggest for current loyalty programs you use?","What improvements would you suggest for current loyalty programs you use? [Score]","What improvements would you suggest for current loyalty programs you use? [Feedback]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience?","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Score]","Do you have any additional comments or suggestions about how a unified membership system could enhance your shopping experience? [Feedback]"
"2024/10/29 1:32:00 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","China","-- / 0","","2-3","-- / 0","","Grocery stores;Restaurants/Cafes;Online shopping platforms","-- / 0","","Daily","-- / 0","","Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Cross-store reword or points or discounts ","-- / 0","","Make it easier ","-- / 0",""
"2024/10/29 2:46:07 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Ireland","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards;Receiving too many promotional emails;Difficulty understanding terms and conditions of programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Likely","-- / 0","","To they show me promotions","-- / 0","","Show all details ","-- / 0",""
"2024/10/29 2:46:17 pm GMT","0.00 / 0","18-24","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Having too many physical or digital cards","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications;Personalized offers based on shopping habits","-- / 0","","Likely","-- / 0","","More integrity and all in one function","-- / 0","","None","-- / 0",""
"2024/10/29 2:53:25 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","2-3","-- / 0","","Grocery stores;Online shopping platforms","-- / 0","","Weekly","-- / 0","","Forgetting to use or redeem points;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores;Customizable notifications and reminders","-- / 0","","Very likely","-- / 0","","None","-- / 0","","None","-- / 0",""
"2024/10/29 2:55:37 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","France","-- / 0","","2-3","-- / 0","","Retail stores (clothing, electronics, etc.);Sephora membership card","-- / 0","","Monthly","-- / 0","","Forgetting to use or redeem points;Difficulty tracking points across multiple programs;Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Automatic point tracking and notifications","-- / 0","","Very likely","-- / 0","","If it was connected to social media accounts (people tend to forget too many accounts and passwords)","-- / 0","","None","-- / 0",""
"2024/10/29 2:57:35 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","United States","-- / 0","","2-3","-- / 0","","Grocery stores;Gyms/Health clubs","-- / 0","","Weekly","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","I use both physical and digital cards","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Customizable notifications and reminders;Cross-store reward redemption (e.g., points earned in one store can be used in another)","-- / 0","","Likely","-- / 0","","Not sure","-- / 0","","No","-- / 0",""
"2024/10/29 3:09:41 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Japan","-- / 0","","4-6","-- / 0","","Retail stores (clothing, electronics, etc.);Restaurants/Cafes;Online shopping platforms;Travel and hospitality (hotels, airlines)","-- / 0","","A few times a year","-- / 0","","Having too many physical or digital cards;Receiving too many promotional emails","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","","Unified loyalty program or unified application for all of mu loyalties","-- / 0","","It would make it very east to use","-- / 0",""
"2024/10/29 3:14:09 pm GMT","0.00 / 0","25-34","-- / 0","","Female","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Grocery stores","-- / 0","","Rarely","-- / 0","","None","-- / 0","","I use both physical and digital cards","-- / 0","","Unsure","-- / 0","","Ability to manage all memberships in one app","-- / 0","","Neutral","-- / 0","","Nothing","-- / 0","","No","-- / 0",""
"2024/10/29 3:27:42 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","2-3","-- / 0","","Grocery stores","-- / 0","","Weekly","-- / 0","","Difficulty tracking points across multiple programs","-- / 0","","Digital cards on my phone","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Easy redemption of rewards from multiple stores","-- / 0","","Very likely","-- / 0","",".","-- / 0","",".","-- / 0",""
"2024/10/29 3:38:25 pm GMT","0.00 / 0","25-34","-- / 0","","Male","-- / 0","","Mongolia","-- / 0","","1","-- / 0","","Gyms/Health clubs","-- / 0","","Rarely","-- / 0","","Having too many physical or digital cards","-- / 0","","Physical cards in a wallet","-- / 0","","Yes","-- / 0","","Ability to manage all memberships in one app;Integration with mobile payment options","-- / 0","","Likely","-- / 0","","Digital card on my phone","-- / 0","","No","-- / 0",""
